2003,"Willcox, Luciane de C. B."
2003,"Tinoco, Tatiana"
2003,"Binder, Marcelo Pereira"
2003,"Menezes, Estera Muszkat"
2003,"Vasconcelos, Flavio Carvalho de"
2003,"Almeida Filho, Naomar"
2003,"Fernandez, Esteve"
2003,"Porta, Miquel"
2003,"Figueiredo, Giovannini Cesar"
2003,"Liberatore, Gustavo"
2003,"Krieger, Eduardo Moacyr"
2003,"Pinto, Miriam Plaza"
2003,"Oliveira, Telma Maria de"
2003,"Leal, Ricardo Pereira Camara"
2003,"Petroianu, Andy"
2003,"Pinheiro, Liliane Vieira"
2003,"Mota, Francisca Rosaline Leite"
2003,"Bini, Luis Mauricio"
2003,"Cruz, Carlos Henrique de Brito"
2003,"Gamboa, Silvio Sanchez"
2003,"Joly, Maria Cristina Rodrigues Azevedo"
2003,"Oliveira, Katya Luciane de"
2003,"Santos, Acacia Aparecida Angeli dos"
2003,"Suehiro, Adriana Cristina Boulhoca"
2003,"Diniz-Filho, Jose Alexandre Felizola"
2003,"Araujo, Carlos Alberto Avila"
2003,"Bernardes, Roberto Carlos"
2003,"Caregnato, Sonia Elisa"
2004,"Alliprandini, Dario Henrique"
2004,"Baeza-Yates, Ricardo"
2004,"Barroso, Keila Martha Amorim"
2004,"Batista, Marcos Aurelio"
2004,"Coser, Claudia"
2004,"Costa, Silvio Lima"
2004,"Dutra, Rosa Melo"
2004,"Ferreira, Adriana Aparecida"
2004,"Ferreira, Neci Sena"
2004,"Ferreira, Rachel Couto"
2004,"Foresti, Miriam Celi Pimentel Porto"
2004,"Gato, Rubenise"
2004,"Gauer, Gustavo"
2004,"Goncalves, Antonio Marcos Filho"
2004,"Issler, Joao Victor"
2004,"Ito, Patricia do Carmo Pereira"
2004,"Jander, Ezi de Mello"
2004,"Maia, Ana Marly Araujo"
2004,"Matos, Lucilda Sousa de"
2004,"Mattos, Pedro Lincoln Carneiro Leao de"
2004,"Melo, Tessia Richelly Nobrega Borja de"
2004,"Mendes, Cristina dUrso de Souza"
2004,"Morales-del-Castillo, Jose"
2004,"Oliveira, P. L."
2004,"Paravic Klijin, Tatiana"
2004,"Pereira Junior, Alvaro R."
2004,"Pereira, Celia Lopes"
2004,"Pereira, Isanira Vaz"
