1984," Lima, Regina Celia Montenegro de"," Figueiredo, Nice Menezes de", ,,,,,,,,,,,,,,,,,,,
1984," Nelson, Reed", ,,,,,,,,,,,,,,,,,,,,
1984," Oliveira, Silas Marques de", ,,,,,,,,,,,,,,,,,,,,
1984," Oliveira, Silas Marques de", ,,,,,,,,,,,,,,,,,,,,
1984," Oliveira, Silas Marques de", ,,,,,,,,,,,,,,,,,,,,
1984," Santos, Maria Consuelo Pinheiro", ,,,,,,,,,,,,,,,,,,,,
1984," Urbizagastegui-Alvarado, Ruben", ,,,,,,,,,,,,,,,,,,,,
1984," Urbizagastegui-Alvarado, Ruben", ,,,,,,,,,,,,,,,,,,,,
1984," Velho, Lea Maria Leme Strini"," Krige, John", ,,,,,,,,,,,,,,,,,,,
1985," Cunha, Miriam Vieira da", ,,,,,,,,,,,,,,,,,,,,
1985," Oliveira, Tereza da Silva Freitas", ,,,,,,,,,,,,,,,,,,,,
1985," Oliveira, Tereza da Silva Freitas", ,,,,,,,,,,,,,,,,,,,,
1985," Velho, Lea Maria Leme Strini", ,,,,,,,,,,,,,,,,,,,,
1986," Almeida, O. de", ,,,,,,,,,,,,,,,,,,,,
1986," Lima, Regina Celia Montenegro de", ,,,,,,,,,,,,,,,,,,,,
1986," Souza, Cassandra Lucia de Maya Viana"," Acosta Hoyos, Luis Eduardo", ,,,,,,,,,,,,,,,,,,,
1986," Urbizagastegui-Alvarado, Ruben", ,,,,,,,,,,,,,,,,,,,,
1986," Urbizagastegui-Alvarado, Ruben", ,,,,,,,,,,,,,,,,,,,,
1986," Velho, Lea Maria Leme Strini", ,,,,,,,,,,,,,,,,,,,,
1986," Velho, Lea Maria Leme Strini", ,,,,,,,,,,,,,,,,,,,,
1986," Velho, Lea Maria Leme Strini", ,,,,,,,,,,,,,,,,,,,,
1987," Blank, V. A."," Berto, Z."," Boos Junior, A."," Nagel, Maria Alice de Brito", ,,,,,,,,,,,,,,,,,
1987," Ferreira, Delia Valerio "," Souza, Rosali Fernandez de", ,,,,,,,,,,,,,,,,,,,
1987," Foresti, Noris Almeida Bethonico"," Martins, Mara Sueli Machado", ,,,,,,,,,,,,,,,,,,,
1987," Freire-Maia, Newton"," Sedoski, Irene", ,,,,,,,,,,,,,,,,,,,
1987," Matus Sepulveda, Gladys"," Cunha, Mariza Russo de Almeida"," Costa, Maria Francisca Teresa de J. Freitas", ,,,,,,,,,,,,,,,,,,
1987," Melo, Jose Marques de", ,,,,,,,,,,,,,,,,,,,,
1987," Moravcsik, M. J.", ,,,,,,,,,,,,,,,,,,,,
1987," Pasquarelli, Maria Luiza Rigo"," Krzyzanowski, Rosaly Favero"," Imperatriz, Ines Maria de Morais"," Noronha, Daisy Pires"," Andrade, E."," Zapparoll, M. C. de M."," Bonesio, M. C. M."," Lobo, M. P."," Almeida, M. dos S."," Toloi, N."," Arruda, R. M. A."," Plaza, R. T. T.", ,,,,,,,,,
1987," Targino, Maria das Gracas"," Caldeira, Paulo da Terra", ,,,,,,,,,,,,,,,,,,,
1987," Urbizagastegui-Alvarado, Ruben", ,,,,,,,,,,,,,,,,,,,,
1987," Urbizagastegui-Alvarado, Ruben", ,,,,,,,,,,,,,,,,,,,,
1987," Urbizagastegui-Alvarado, Ruben", ,,,,,,,,,,,,,,,,,,,,
1987," Velho, Lea Maria Leme Strini", ,,,,,,,,,,,,,,,,,,,,
1988," Coutinho, Eliana", ,,,,,,,,,,,,,,,,,,,,
1988," Meneghini, Rogerio", ,,,,,,,,,,,,,,,,,,,,
1988," Oliveira, Jose Almir Martins "," Bressan, Matheus "," Barros, Edgard De Vasconcelos"," Muniz, Jose Norberto ",,,,,,,,,,,,,,,,,,
1988," Poblacion, Dinah Aguiar"," Duarte, Jurandir Godoy", ,,,,,,,,,,,,,,,,,,,
1988," Soares, Monica Fonseca", ,,,,,,,,,,,,,,,,,,,,
1988," Souza, Maria da Paixao Neres de", ,,,,,,,,,,,,,,,,,,,,
1988," Targino, Maria das Gracas"," Caldeira, Paulo da Terra", ,,,,,,,,,,,,,,,,,,,
1988," Urbizagastegui-Alvarado, Ruben", ,,,,,,,,,,,,,,,,,,,,
1989," Alencar, Maria de Cleofas Faggion"," Martins, Adriana Rinaldi"," Fernandes, Luzia Sigole"," Ruzza, Regina Celia Pisanelli de"," Pegoraro, Silvene", ,,,,,,,,,,,,,,,,
1989," Kremer, Jeannette Marguerite", ,,,,,,,,,,,,,,,,,,,,
1989," Lima, Clovis Ricardo Montenegro de", ,,,,,,,,,,,,,,,,,,,,
1989," Machado-da-Silva, Clovis L."," Cunha, Vera C."," Amboni, Nerio", ,,,,,,,,,,,,,,,,,,
